version              n    time(s)  Normalized(ns)
ver1d_local \t   07000  0.1643   3.3539 
ver1d_local \t   07000  0.1625   3.3168 
ver1d_local \t   07000  0.1668   3.4050 
ver1d_local \t   07000  0.1672   3.4128 
ver1d_local \t   07000  0.1628   3.3231 
ver1d_local \t   07000  0.1687   3.4421 
ver1d_local \t   07000  0.1580   3.2249 
ver1d_local \t   07000  0.1579   3.2216 
ver1d_local \t   07000  0.1645   3.3571 
ver1d_local \t   07000  0.1664   3.3968 
ver1d_local \t   07000  0.1660   3.3885 
ver1d_local \t   07000  0.1666   3.4006 
ver1d_local \t   07000  0.1649   3.3648 
ver1d_local \t   07000  0.1669   3.4053 
ver1d_local \t   07000  0.1626   3.3176 
ver1d_local \t   07000  0.1699   3.4683 
ver1d_local \t   07000  0.1647   3.3622 
ver1d_local \t   07000  0.1636   3.3385 
ver1d_local \t   07000  0.1600   3.2662 
ver1d_local \t   07000  0.1644   3.3559 
ver1d_local \t   07000  0.1640   3.3471 
ver1d_local \t   07000  0.1671   3.4109 
ver1d_local \t   07000  0.1624   3.3133 
ver1d_local \t   07000  0.1682   3.4333 
ver1d_local \t   07000  0.1770   3.6131 
ver1d_local \t   07000  0.1643   3.3524 
ver1d_local \t   07000  0.1611   3.2886 
ver1d_local \t   07000  0.1622   3.3107 
ver1d_local \t   07000  0.1773   3.6182 
ver1d_local \t   07000  0.1599   3.2639 
ver1d_local \t   07000  0.1640   3.3474 
ver1d_local \t   07000  0.1675   3.4186 


ver3f_local \t   07000  0.0563   1.1482 
ver3f_local \t   07000  0.0578   1.1803 
ver3f_local \t   07000  0.0589   1.2016 
ver3f_local \t   07000  0.0566   1.1560 
ver3f_local \t   07000  0.0579   1.1812 
ver3f_local \t   07000  0.0585   1.1937 
ver3f_local \t   07000  0.0566   1.1547 
ver3f_local \t   07000  0.0568   1.1588 
ver3f_local \t   07000  0.0557   1.1367 
ver3f_local \t   07000  0.0588   1.2002 
ver3f_local \t   07000  0.0623   1.2724 
ver3f_local \t   07000  0.0536   1.0930 
ver3f_local \t   07000  0.0536   1.0938 
ver3f_local \t   07000  0.0536   1.0934 
ver3f_local \t   07000  0.0535   1.0918 
ver3f_local \t   07000  0.0536   1.0932 
ver3f_local \t   07000  0.0538   1.0973 
ver3f_local \t   07000  0.0554   1.1299 
ver3f_local \t   07000  0.0559   1.1411 
ver3f_local \t   07000  0.0541   1.1034 


ver4f_local \t   02000  0.0141   3.5297 
ver4f_local \t   02000  0.0106   2.6452 
ver4f_local \t   02000  0.0103   2.5665 
ver4f_local \t   02000  0.0104   2.6045 
ver4f_local \t   02000  0.0112   2.7877 
ver4f_local \t   02000  0.0100   2.5112 
ver4f_local \t   02000  0.0102   2.5568 
ver4f_local \t   02000  0.0101   2.5238 
ver4f_local \t   02000  0.0105   2.6270 
ver4f_local \t   02000  0.0119   2.9733 
ver4f_local \t   02000  0.0105   2.6237 
ver4f_local \t   02000  0.0102   2.5445 
ver4f_local \t   02000  0.0119   2.9638 
ver4f_local \t   02000  0.0105   2.6270 
ver4f_local \t   02000  0.0119   2.9657 
ver4f_local \t   02000  0.0119   2.9653 
ver4f_local \t   02000  0.0107   2.6643 
ver4f_local \t   02000  0.0102   2.5385 
ver4f_local \t   02000  0.0101   2.5282 
